#  n                 E_n      E_n s10 [a.u.]      E_n s21 [a.u.]      E_n s45 [a.u.]      E_n s97 [a.u.]     E_n s206 [a.u.]     E_n s440 [a.u.]     E_n s938 [a.u.]    E_n s2000 [a.u.]
  52  -2.377797979400E-1  -1.755669166347E-1  -2.452597844665E-1  -2.374054899145E-1  -2.377778643017E-1  -2.377799217241E-1  -2.377798036677E-1  -2.377797982163E-1  -2.377797979534E-1
  53  -2.307917324564E-1  -1.649240629496E-1  -2.379144425003E-1  -2.304408685568E-1  -2.307896650925E-1  -2.307918586724E-1  -2.307917380964E-1  -2.307917327285E-1  -2.307917324695E-1
  54  -2.239078893860E-1  -1.544877972887E-1  -2.306993353375E-1  -2.235805592399E-1  -2.239057200722E-1  -2.239080158078E-1  -2.239078949432E-1  -2.239078896540E-1  -2.239078893989E-1
  55  -2.171282687542E-1  -1.442678587898E-1  -2.236133381663E-1  -2.168244457210E-1  -2.171260245202E-1  -2.171283953414E-1  -2.171282742360E-1  -2.171282690182E-1  -2.171282687670E-1
  56  -2.104528705860E-1  -1.342752158715E-1  -2.166550841912E-1  -2.101724064753E-1  -2.104505690457E-1  -2.104529953256E-1  -2.104528759915E-1  -2.104528708459E-1  -2.104528705986E-1
  57  -2.038816949057E-1  -1.245219996840E-1  -2.098226846596E-1  -2.036243598758E-1  -2.038793518970E-1  -2.038818185903E-1  -2.038817002188E-1  -2.038816951615E-1  -2.038816949180E-1
  58  -1.974147417369E-1  -1.150224604329E-1  -2.031139368794E-1  -1.971802274298E-1  -1.974123842695E-1  -1.974148620211E-1  -1.974147469382E-1  -1.974147419886E-1  -1.974147417490E-1
  59  -1.910520111028E-1  -1.057932867037E-1  -1.965261530570E-1  -1.908399398977E-1  -1.910496599575E-1  -1.910521278698E-1  -1.910520161956E-1  -1.910520113504E-1  -1.910520111147E-1
  60  -1.847935030257E-1  -9.685441487584E-2  -1.900563794752E-1  -1.846034404560E-1  -1.847911748000E-1  -1.847936139817E-1  -1.847935080493E-1  -1.847935032693E-1  -1.847935030375E-1
  61  -1.786392175275E-1  -8.823064419736E-2  -1.837014451779E-1  -1.784706906043E-1  -1.786369269197E-1  -1.786393237241E-1  -1.786392225290E-1  -1.786392177670E-1  -1.786392175391E-1
  62  -1.725891546291E-1  -7.995345575876E-2  -1.774584584269E-1  -1.724416399225E-1  -1.725869215968E-1  -1.725892555987E-1  -1.725891596078E-1  -1.725891548644E-1  -1.725891546404E-1
  63  -1.666433143506E-1  -7.206521175963E-2  -1.713251851940E-1  -1.665162464171E-1  -1.666411565463E-1  -1.666434116711E-1  -1.666433192321E-1  -1.666433145818E-1  -1.666433143617E-1
  64  -1.608016967114E-1  -7.040660613013E-2  -1.653003177512E-1  -1.606944642308E-1  -1.607996268930E-1  -1.608017897222E-1  -1.608017013964E-1  -1.608016969386E-1  -1.608016967224E-1
  65  -1.550643017302E-1  -6.647170211446E-2  -1.593829552633E-1  -1.549762515560E-1  -1.550623332039E-1  -1.550643914463E-1  -1.550643061917E-1  -1.550643019533E-1  -1.550643017410E-1
  66  -1.494311294245E-1  -6.462655244644E-2  -1.535722019318E-1  -1.493615713621E-1  -1.494292759374E-1  -1.494312155410E-1  -1.494311337631E-1  -1.494311296435E-1  -1.494311294350E-1
  67  -1.439021798110E-1  -6.262177791766E-2  -1.478673014898E-1  -1.438503840113E-1  -1.439004528267E-1  -1.439022635842E-1  -1.439021841975E-1  -1.439021800259E-1  -1.439021798214E-1
  68  -1.384774529057E-1  -5.889858562601E-2  -1.422678809035E-1  -1.384426516972E-1  -1.384758619148E-1  -1.384775342533E-1  -1.384774574418E-1  -1.384774531166E-1  -1.384774529159E-1
  69  -1.331569487235E-1  -5.773531920779E-2  -1.367736711224E-1  -1.331383476536E-1  -1.331555013213E-1  -1.331570283985E-1  -1.331569533382E-1  -1.331569489302E-1  -1.331569487334E-1
  70  -1.279406672781E-1  -5.533463779261E-2  -1.313845211810E-1  -1.279374706517E-1  -1.279393705837E-1  -1.279407452987E-1  -1.279406717586E-1  -1.279406674807E-1  -1.279406672879E-1
  71  -1.228286085826E-1  -5.197005853293E-2  -1.261005747712E-1  -1.228400355527E-1  -1.228274701302E-1  -1.228286856602E-1  -1.228286127248E-1  -1.228286087811E-1  -1.228286085922E-1
  72  -1.178207726488E-1  -5.158537254772E-2  -1.209220614844E-1  -1.178460585056E-1  -1.178197957877E-1  -1.178208492572E-1  -1.178207764096E-1  -1.178207728433E-1  -1.178207726582E-1
  73  -1.129171594876E-1  -4.887253948110E-2  -1.158494542652E-1  -1.129555284943E-1  -1.129163454163E-1  -1.129172358832E-1  -1.129171630182E-1  -1.129171596780E-1  -1.129171594968E-1
  74  -1.081177691088E-1  -4.690896714763E-2  -1.108834101653E-1  -1.081684203035E-1  -1.081171225476E-1  -1.081178455105E-1  -1.081177726485E-1  -1.081177692951E-1  -1.081177691178E-1
  75  -1.034226015212E-1  -4.555971108218E-2  -1.060247911078E-1  -1.034847058431E-1  -1.034221230328E-1  -1.034226775966E-1  -1.034226052396E-1  -1.034226017034E-1  -1.034226015300E-1
  76  -9.883165673234E-2  -4.335682535001E-2  -1.012746355584E-1  -9.890437272040E-2  -9.883134284952E-2  -9.883173267690E-2  -9.883166063575E-2  -9.883165691044E-2  -9.883165674094E-2
  77  -9.434493474890E-2  -4.132544553106E-2  -9.663405538661E-2  -9.442745483765E-2  -9.434478607902E-2  -9.434501025738E-2  -9.434493870380E-2  -9.434493492292E-2  -9.434493475730E-2
  78  -8.996243557633E-2  -3.916494305779E-2  -9.210403876920E-2  -9.005401554966E-2  -8.996245015773E-2  -8.996251068329E-2  -8.996243941260E-2  -8.996243574625E-2  -8.996243558453E-2
  79  -8.568415921897E-2  -3.692089412303E-2  -8.768528673984E-2  -8.578408187190E-2  -8.568432947127E-2  -8.568423361471E-2  -8.568416282884E-2  -8.568415938480E-2  -8.568415922698E-2
  80  -8.151010568009E-2  -3.464075868193E-2  -8.337828174065E-2  -8.161762992518E-2  -8.151043009694E-2  -8.151017903741E-2  -8.151010905259E-2  -8.151010584183E-2  -8.151010568790E-2
  81  -7.744027496180E-2  -3.232266274007E-2  -7.918348463623E-2  -7.755462636807E-2  -7.744074769080E-2  -7.744034714908E-2  -7.744027815064E-2  -7.744027511945E-2  -7.744027496941E-2
  82  -7.347466706510E-2  -2.997783648704E-2  -7.510124671698E-2  -7.359506656310E-2  -7.347527829269E-2  -7.347473781752E-2  -7.347467013137E-2  -7.347466721866E-2  -7.347466707251E-2
  83  -6.961328198985E-2  -2.761556008102E-2  -7.113168958042E-2  -6.973900092885E-2  -6.961402870951E-2  -6.961335130198E-2  -6.961328496416E-2  -6.961328213933E-2  -6.961328199707E-2
  84  -6.585611973480E-2  -2.524376189192E-2  -6.727473800315E-2  -6.598651921767E-2  -6.585699152664E-2  -6.585618749626E-2  -6.585612261643E-2  -6.585611988019E-2  -6.585611974183E-2
  85  -6.220318029756E-2  -2.287024317669E-2  -6.353003677710E-2  -6.233763330514E-2  -6.220416846659E-2  -6.220324634533E-2  -6.220318307806E-2  -6.220318043886E-2  -6.220318030438E-2
  86  -5.865446367460E-2  -2.050362336275E-2  -5.989685167164E-2  -5.879229097721E-2  -5.865556261081E-2  -5.865452792693E-2  -5.865446636101E-2  -5.865446381181E-2  -5.865446368123E-2
  87  -5.520996986129E-2  -1.815309772896E-2  -5.637406952788E-2  -5.535047228989E-2  -5.521116580661E-2  -5.521003217220E-2  -5.520997248212E-2  -5.520996999441E-2  -5.520996986772E-2
  88  -5.186969885187E-2  -1.582967185596E-2  -5.296024375643E-2  -5.201222931722E-2  -5.187098640996E-2  -5.186975915586E-2  -5.186970144496E-2  -5.186969898090E-2  -5.186969885810E-2
  89  -4.863365063948E-2  -1.354623000359E-2  -4.965399229428E-2  -4.877765869675E-2  -4.863501784195E-2  -4.863370892553E-2  -4.863365323287E-2  -4.863365076442E-2  -4.863365064551E-2
  90  -4.550182521615E-2  -1.131811421013E-2  -4.645450990258E-2  -4.564677851477E-2  -4.550326265025E-2  -4.550188144618E-2  -4.550182781462E-2  -4.550182533700E-2  -4.550182522199E-2
  91  -4.247422257284E-2  -9.162902154535E-3  -4.336173399685E-2  -4.261951066743E-2  -4.247572181444E-2  -4.247427672595E-2  -4.247422515646E-2  -4.247422268959E-2  -4.247422257848E-2
  92  -3.955084269940E-2  -7.101944973037E-3  -4.037573661870E-2  -3.969586814950E-2  -3.955239109855E-2  -3.955089473836E-2  -3.955084523272E-2  -3.955084281206E-2  -3.955084270484E-2
  93  -3.673168558463E-2  -5.167581634363E-3  -3.749648997762E-2  -3.687594466243E-2  -3.673327687318E-2  -3.673173546060E-2  -3.673168803002E-2  -3.673168569321E-2  -3.673168558987E-2
  94  -3.401675121630E-2  -4.069479130988E-3  -3.472415579900E-2  -3.415980305156E-2  -3.401837169422E-2  -3.401679891299E-2  -3.401675354504E-2  -3.401675132079E-2  -3.401675122135E-2
  95  -3.140603958113E-2  -1.405167276916E-3  -3.205879269720E-2  -3.154737020437E-2  -3.140768347096E-2  -3.140608509171E-2  -3.140604177865E-2  -3.140603968153E-2  -3.140603958598E-2
  96  -2.889955066482E-2  -8.428046020687E-4  -2.950033264018E-2  -2.903863361212E-2  -2.890120466991E-2  -2.889959399105E-2  -2.889955272998E-2  -2.889955076113E-2  -2.889955066947E-2
  97  -2.649728445210E-2                 NaN  -2.704864417190E-2  -2.663371545802E-2  -2.649894290817E-2  -2.649732563101E-2  -2.649728639263E-2  -2.649728454432E-2  -2.649728445655E-2
  98  -2.419924092670E-2                 NaN  -2.470370608071E-2  -2.433263418382E-2  -2.420089139549E-2  -2.419928000460E-2  -2.419924275383E-2  -2.419924101483E-2  -2.419924093096E-2
  99  -2.200542007143E-2                 NaN  -2.246592883120E-2  -2.213531248093E-2  -2.200705678165E-2  -2.200545707261E-2  -2.200542179554E-2  -2.200542015547E-2  -2.200542007548E-2
 100  -1.991582186814E-2                 NaN  -2.033588132447E-2  -2.004181835009E-2  -1.991743404910E-2  -1.991585681354E-2  -1.991582349658E-2  -1.991582194809E-2  -1.991582187200E-2
 101  -1.793044629782E-2                 NaN  -1.831376722555E-2  -1.805223835144E-2  -1.793202702202E-2  -1.793047922572E-2  -1.793044783452E-2  -1.793044637368E-2  -1.793044630148E-2
 102  -1.604929334057E-2                 NaN  -1.639933738063E-2  -1.616648905934E-2  -1.605083477139E-2  -1.604932429238E-2  -1.604929478692E-2  -1.604929341234E-2  -1.604929334404E-2
 103  -1.427236297566E-2                 NaN  -1.459168212171E-2  -1.438462443781E-2  -1.427385635645E-2  -1.427239197847E-2  -1.427236433176E-2  -1.427236304334E-2  -1.427236297892E-2
 104  -1.259965518153E-2                 NaN  -1.288966940666E-2  -1.270672266169E-2  -1.260109553214E-2  -1.259968225473E-2  -1.259965644732E-2  -1.259965524512E-2  -1.259965518460E-2
 105  -1.103116993587E-2                 NaN  -1.129310057088E-2  -1.113269827642E-2  -1.103254884127E-2  -1.103119510632E-2  -1.103117111178E-2  -1.103116999537E-2  -1.103116993875E-2
 106  -9.566907215628E-3                 NaN  -9.802668397865E-3  -9.662662099222E-3  -9.568218733072E-3  -9.566930520232E-3  -9.566908302800E-3  -9.566907271040E-3  -9.566907218300E-3
 107  -8.206866997022E-3                 NaN  -8.418441776762E-3  -8.296585597319E-3  -8.208106305865E-3  -8.206888473783E-3  -8.206867997203E-3  -8.206867048339E-3  -8.206866999495E-3
 108  -6.951049255621E-3                 NaN  -7.139906854016E-3  -7.034491826083E-3  -6.952209757789E-3  -6.951068935526E-3  -6.951050170879E-3  -6.951049302855E-3  -6.951049257900E-3
 109  -5.799453966362E-3                 NaN  -5.966609327244E-3  -5.876420620526E-3  -5.800530566748E-3  -5.799471872374E-3  -5.799454798748E-3  -5.799454009507E-3  -5.799453968447E-3
 110  -4.752081103603E-3                 NaN  -4.899196422345E-3  -4.822364916071E-3  -4.753070024555E-3  -4.752097253998E-3  -4.752081854911E-3  -4.752081142653E-3  -4.752081105487E-3
 111  -3.808930641131E-3                 NaN  -3.937780685502E-3  -3.872360956600E-3  -3.809827608407E-3  -3.808945052582E-3  -3.808931312768E-3  -3.808930676098E-3  -3.808930642819E-3
 112  -2.970002552265E-3                 NaN  -3.081278226213E-3  -3.026424205312E-3  -2.970803327750E-3  -2.970015240767E-3  -2.970003145155E-3  -2.970002583139E-3  -2.970002553751E-3
 113  -1.078552253712E-3                 NaN  -1.142286513978E-3  -2.284559193251E-3  -1.079046766935E-3  -1.078559853160E-3  -1.078552612172E-3  -1.078552272315E-3  -1.078552254609E-3
 114  -6.565133838516E-4                 NaN                 NaN  -1.646810036589E-3  -6.569013907148E-4  -6.565193056500E-4  -6.565136639366E-4  -6.565133983667E-4  -6.565133845542E-4
