#  n     ΔE_n s10 [a.u.]     ΔE_n s21 [a.u.]     ΔE_n s45 [a.u.]     ΔE_n s97 [a.u.]    ΔE_n s206 [a.u.]    ΔE_n s440 [a.u.]    ΔE_n s938 [a.u.]   ΔE_n s2000 [a.u.]
  86   3.815084031185E-2   1.242387997036E-3   1.378273026100E-4   1.098936203578E-6   6.425232776386E-8   2.686411329500E-9  1.372022634394E-10  6.624797932453E-12
  87   3.705687213233E-2   1.164099666590E-3   1.405024285984E-4   1.195945321414E-6   6.231090721176E-8   2.620831635047E-9  1.331154214634E-10  6.424527576598E-12
  88   3.604002699592E-2   1.090544904560E-3   1.425304653426E-4   1.287558085539E-6   6.030398606860E-8   2.593087231051E-9  1.290233614393E-10  6.228989546386E-12
  89   3.508742063589E-2   1.020341654794E-3   1.440080572680E-4   1.367202465116E-6   5.828604400515E-8   2.593386894123E-9  1.249368941636E-10  6.032799260147E-12
  90   3.418371100602E-2   9.526846864276E-4   1.449532986202E-4   1.437434097362E-6   5.623002163890E-8   2.598461890102E-9  1.208450006729E-10  5.835873451154E-12
  91   3.331132041830E-2   8.875114240175E-4   1.452880945932E-4   1.499241601172E-6   5.415311069012E-8   2.583626784736E-9  1.167533153490E-10  5.638156608256E-12
  92   3.244889772636E-2   8.248939193007E-4   1.450254501007E-4   1.548399152576E-6   5.203896188966E-8   2.533325230147E-9  1.126672366514E-10  5.439690364817E-12
  93   3.156410395027E-2   7.648043929836E-4   1.442590777935E-4   1.591288551622E-6   4.987596798067E-8   2.445391292238E-9  1.085758288832E-10  5.240474720836E-12
  94   2.994727208531E-2   7.074045826958E-4   1.430518352570E-4   1.620477920142E-6   4.769668580928E-8   2.328740630886E-9  1.044899999858E-10  5.045991402497E-12
  95   3.000087230422E-2   6.527531160651E-4   1.413306232408E-4   1.643889827249E-6   4.551057802837E-8   2.197524037739E-9  1.003989114068E-10  4.845332468584E-12
  96   2.805674606276E-2   6.007819753565E-4   1.390829472930E-4   1.654005090349E-6   4.332622702968E-8   2.065153374697E-9  9.630797548343E-11  4.649419738101E-12
  97                 NaN   5.513597197981E-4   1.364310059197E-4   1.658456068934E-6   4.117890230193E-8   1.940528168709E-9  9.221718527685E-11  4.447407719876E-12
  98                 NaN   5.044651540081E-4   1.333932571173E-4   1.650468789915E-6   3.907789721674E-8   1.827127379950E-9  8.813199475766E-11  4.255470975600E-12
  99                 NaN   4.605087597727E-4   1.298924095029E-4   1.636710224753E-6   3.700118466482E-8   1.724113893320E-9  8.404148904573E-11  4.057330860174E-12
 100                 NaN   4.200594563327E-4   1.259964819548E-4   1.612180957046E-6   3.494540053856E-8   1.628441097246E-9  7.995112211168E-11  3.858441344207E-12
 101                 NaN   3.833209277370E-4   1.217920536252E-4   1.580724204128E-6   3.292790090592E-8   1.536706858984E-9  7.586089395550E-11  3.664291092775E-12
