#             R [au]           V(R) [eV]         s10(R) [eV]         s21(R) [eV]         s45(R) [eV]         s97(R) [eV]        s206(R) [eV]        s440(R) [eV]        s938(R) [eV]       s2000(R) [eV]
    1.152915291529E0    3.981104735224E1    6.565283265713E1    5.127031606052E1    4.198784197648E1    3.964587428251E1    3.981379928835E1    3.981105235605E1    3.981104735050E1    3.981104734788E1
    1.154015401540E0    3.956948435570E1    6.553463240349E1    5.105425676356E1    4.172429613869E1    3.940354544496E1    3.957182279591E1    3.956949061224E1    3.956948432130E1    3.956948435568E1
    1.155115511551E0    3.932871202915E1    6.541645116052E1    5.083833717187E1    4.146130492764E1    3.916218442198E1    3.933064529318E1    3.932871911881E1    3.932871194048E1    3.932871202556E1
    1.156215621562E0    3.908872814223E1    6.529828906401E1    5.062255828336E1    4.119887230496E1    3.892178529219E1    3.909026661783E1    3.908873571428E1    3.908872799886E1    3.908872813353E1
    1.157315731573E0    3.884953047055E1    6.518014624976E1    5.040692109592E1    4.093700223227E1    3.868234213418E1    3.885068660754E1    3.884953823719E1    3.884953028726E1    3.884953046149E1
    1.158415841584E0    3.861111679562E1    6.506202285355E1    5.019142660743E1    4.067569867117E1    3.844384902655E1    3.861190509999E1    3.861112452607E1    3.861111659650E1    3.861111679130E1
    1.159515951595E0    3.837348490487E1    6.494391901117E1    4.997607581580E1    4.041496558331E1    3.820630004790E1    3.837392193285E1    3.837349241946E1    3.837348471739E1    3.837348490484E1
    1.160616061606E0    3.813663259162E1    6.482583485842E1    4.976086971893E1    4.015480693028E1    3.796968927683E1    3.813673694380E1    3.813663975590E1    3.813663244074E1    3.813663258809E1
    1.161716171617E0    3.790055765508E1    6.470777053109E1    4.954580931470E1    3.989522667372E1    3.773401079194E1    3.790034984453E1    3.790056437391E1    3.790055755737E1    3.790055764650E1
    1.162816281628E0    3.766525790031E1    6.458972616496E1    4.933089560101E1    3.963622877524E1    3.749925867184E1    3.766475891633E1    3.766526411203E1    3.766525785810E1    3.766525789137E1
